GenerationFilters.Include	Resource	ShortTitle	Category	Possible Mitigation	References
target is Azure API Management	Azure API Management	There may be difficulties resolving issues relating to Azure API Management API services due to a lack of resource logs	Denial of Service	"<p>Ensure that your Azure API Management API services are configured to use resource logs in order to collect valuable information on API Management operations and errors. By enabling resource logs through a diagnostic setting, you can gather extensive information on the API requests received and handled by the Azure API Management service gateway.</p>

<p>Enabling resource logs (Azure Monitor logs) for Azure API Management services provides a wealth of insights into API operations and errors, enhancing troubleshooting, auditing, and performance monitoring capabilities. This enables administrators to proactively identify and resolve issues promptly, improve API performance, and gain valuable insights into API usage patterns.</p>"	"<p>Resource logs: <a href=""https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-use-azure-monitor#resource-logs"">https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-use-azure-monitor#resource-logs</a></p>
<p>Diagnostic settings in Azure Monitor: <a href=""https://learn.microsoft.com/en-us/azure/azure-monitor/essentials/diagnostic-settings"">https://learn.microsoft.com/en-us/azure/azure-monitor/essentials/diagnostic-settings</a></p>

<p>Azure CLI Documentation:</p>
<p>az apim list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list</a></p>
<p>az monitor diagnostic-settings list: <a href=""https://learn.microsoft.com/en-us/cli/azure/monitor/diagnostic-settings?view=azure-cli-latest#az-monitor-diagnostic-settings-list"">https://learn.microsoft.com/en-us/cli/azure/monitor/diagnostic-settings?view=azure-cli-latest#az-monitor-diagnostic-settings-list</a></p>
<p>az monitor diagnostic-settings create: <a href=""https://learn.microsoft.com/en-us/cli/azure/monitor/diagnostic-settings?view=azure-cli-latest#az-monitor-diagnostic-settings-create"">https://learn.microsoft.com/en-us/cli/azure/monitor/diagnostic-settings?view=azure-cli-latest#az-monitor-diagnostic-settings-create</a></p> "
target is Azure API Management	Azure API Management	Failure to use response caching may lead to increased bandwidth consumption and processing requirements for Azure API Management APIs	Denial of Service	"<p>Ensure that built-in response caching is enabled for Microsoft Azure API Management APIs in order to reduce latency for API callers and backend load for API providers. To enable response caching, a set of caching policies must be configured at the API level.</p>

<p>Enabling built-in response caching in Azure API Management enhances performance by reducing bandwidth and processing demands on the backend server. This results in lower latency for API consumers, optimizing overall system efficiency and delivering faster responses.</p>

"	"<p>Get from cache: <a href=""https://learn.microsoft.com/en-us/azure/api-management/cache-lookup-policy"">https://learn.microsoft.com/en-us/azure/api-management/cache-lookup-policy</a></p>
<p>Store to cache: <a href=""https://learn.microsoft.com/en-us/azure/api-management/cache-store-policy"">https://learn.microsoft.com/en-us/azure/api-management/cache-store-policy</a></p>

<p>Azure PowerShell Documentation:</p>
<p>az apim list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list</a></p>
<p>az apim api list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim/api?view=azure-cli-latest#az-apim-api-list"">https://learn.microsoft.com/en-us/cli/azure/apim/api?view=azure-cli-latest#az-apim-api-list</a></p>
<p>New-AzApiManagementContext: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/new-azapimanagementcontext?view=azps-11.0.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/new-azapimanagementcontext?view=azps-11.0.0</a></p>
<p>Get-AzApiManagementPolicy: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/get-azapimanagementpolicy?view=azps-11.1.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/get-azapimanagementpolicy?view=azps-11.1.0</a></p>
<p>Set-AzApiManagementPolicy: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/set-azapimanagementpolicy?view=azps-11.1.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/set-azapimanagementpolicy?view=azps-11.1.0</a></p> "
target is Azure API Management	Azure API Management	Azure API Management API gateways may suffer performance issues if they do not support HTTP/2	Denial of Service	"<p>Ensure that your Azure API Management API gateways are configured to use HTTP/2 in order to increase the API performance on the client-side. HTTP/2 represents a major revision of the HTTP protocol, that has the primary goal of reducing the impact of latency and connection load on servers by implementing full request and response multiplexing, minimizing protocol overhead via compression of HTTP header fields, and by adding support for HTTP request prioritization and server push.</p>

<p>Enabling HTTP/2 for your Azure API Management API gateways can significantly enhance the performance, efficiency, and scalability of your API infrastructure, resulting in a more responsive and efficient API ecosystem.</p>"	"<p>Azure security baseline for API Management: <a href=""https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/api-management-security-baseline"">https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/api-management-security-baseline</a></p>
<p>Manage protocols and ciphers in Azure API Management: <a href=""https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-manage-protocols-ciphers"">https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-manage-protocols-ciphers</a></p>
<p>Api Management Service - Create Or Update: <a href=""https://learn.microsoft.com/en-us/rest/api/apimanagement/api-management-service/create-or-update"">https://learn.microsoft.com/en-us/rest/api/apimanagement/api-management-service/create-or-update</a></p>

<p>Azure PowerShell Documentation:</p>
<p>az apim list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list</a></p>
<p>az apim show: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-show"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-show</a></p>
<p>az apim update: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-update"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-update</a></p> "
target is Azure API Management	Azure API Management	Failure to implement backup and restore facilities may lead to loss of API Management resources.	Denial of Service	"<p>Leverage the backup and restore capabilities in Azure API Management service. When leveraging backup capabilities, Azure API Management writes backups to customer-owned Azure Storage Account. Backup and restore operations are provided by Azure API Management to perform full system backup and restore.</p>

"	"<p>How to implement disaster recovery using service backup and restore in Azure API Management: <a href=""https://learn.microsoft.com/en-gb/azure/api-management/api-management-howto-disaster-recovery-backup-restore"">https://learn.microsoft.com/en-gb/azure/api-management/api-management-howto-disaster-recovery-backup-restore</a></p> "
source is Azure Data Factory	Azure Data Factory	Failure to implement CI/CD and versioning may lead to loss of data	Denial of Service	"<p>By default, the Azure Data Factory UI authors directly against the data factory service which is not optimised for collaboration and version control and does not permit compliance with Sainsbury's tech standards as code cannot be scanned for quality and security.</p>

<p>This can be resolved by implementing Azure Data Factory source control to integrate with Github.</p>

"	"<p>Source control in Azure Data Factory: <a href=""https://learn.microsoft.com/en-gb/azure/data-factory/source-control"">https://learn.microsoft.com/en-gb/azure/data-factory/source-control</a></p>"
source is Azure Data Lake Storage	Azure Data Lake Storage	Data within Azure Data Lake Storage may be lost if no provision is made for retrieving deleted objects or disaster recovery.	Denial of Service	"<p>Soft delete should be configured for Blob storage to ensure information can be recovered from an earlier state.</p>

<p>Data can be regularly copied to another ADLS Gen2 account in a different region for disaster recovery purposes.</p>

"	"<p>Enable blob soft delete (hierarchical namespace): <a href=""https://learn.microsoft.com/en-gb/azure/storage/blobs/soft-delete-blob-enable?tabs=azure-portal#enable-blob-soft-delete-hierarchical-namespace"">https://learn.microsoft.com/en-gb/azure/storage/blobs/soft-delete-blob-enable?tabs=azure-portal#enable-blob-soft-delete-hierarchical-namespace</a></p>
<p>Copy blobs between Azure Storage Account by using AzCopy: <a href=""https://learn.microsoft.com/en-us/azure/storage/common/storage-use-azcopy-blobs-copy"">https://learn.microsoft.com/en-us/azure/storage/common/storage-use-azcopy-blobs-copy</a></p> 
"
target is Azure Key Vault	Azure Key Vault	An adversary may attempt to delete key vault or key vault object causing business disruption.  	Denial of Service	"<p>Ensure that production Azure Key Vaults are recoverable in order to prevent permanent deletion/purging of encryption keys, secrets and certificates stored within these vaults. To make your Azure Key Vault instances recoverable, you need to enable both ""Soft Delete"" and ""Do Not Purge"" features:</p>

<p>""Soft Delete"" implemented by enableSoftDelete parameter, ensures that even if the Key Vault is deleted, the vault itself or its objects (keys, secrets, certificates) remain recoverable for next 90 days. In this span of 90 days, either the vault and its objects can be recovered or purged (permanent deletion). If no action is taken, after 90 days, the Azure Key Vault and all its objects will be purged.</p>

<p>""Do Not Purge"" feature, implemented by enablePurgeProtection parameter, ensures that the Azure Key Vault and its objects cannot be purged at all, preventing users from accidentally purging Azure Key Vault resources. This adds to the ""Soft Delete"" feature which only ensures that Key Vault is not deleted permanently and will be recoverable for 90 days from the date of deletion.</p>

<p>Accidental or malicious deletion or purging of a Key Vault instance can lead to immediate data loss, as the keys encrypting the data and the secrets or certificates allowing access to resources and applications will become non-accessible. To prevent loss of encrypted data including storage accounts, SQL databases, and other cloud resources and services dependent on Key Vault objects (i.e. encryption keys, secrets, certificates) it is recommended to implement Azure Key Vault recoverability by enabling both ""Soft Delete"" and ""Do Not Purge"" features for the production vaults.</p>

<p>Ensure that a Microsoft Azure activity log alert is fired whenever a ""Delete Key Vault"" event is triggered inside your Azure cloud account. An activity log alert fires each time the action event that matches the condition specified in the alert configuration is triggered. An example alert condition could be: ""Whenever the Activity Log has an event with Category='Administrative', Signal name='Delete Key Vault (vaults)'"".</p>

<p>Using Microsoft Azure Monitor service to detect ""Delete Key Vault"" events will help you reduce the time required to mitigate any accidental or intentional deletion of Key Vaults available within your Azure cloud account and improve the Key Vault resources security and management.</p>

"	"<p>Create, view, and manage activity log alerts by using Azure Monitor: <a href=""https://docs.microsoft.com/en-us/azure/azure-monitor/platform/alerts-activity-log"">https://docs.microsoft.com/en-us/azure/azure-monitor/platform/alerts-activity-log</a></p>
<p>Create, view, and manage log alerts using Azure Monitor: <a href=""https://docs.microsoft.com/en-us/azure/azure-monitor/platform/alerts-log"">https://docs.microsoft.com/en-us/azure/azure-monitor/platform/alerts-log</a></p>
<p>Action rules: <a href=""https://docs.microsoft.com/en-us/azure/azure-monitor/platform/alerts-action-rules"">https://docs.microsoft.com/en-us/azure/azure-monitor/platform/alerts-action-rules</a></p>
<p>Get started with Key Vault certificates: <a href=""https://docs.microsoft.com/en-us/azure/key-vault/general/about-keys-secrets-certificates"">https://docs.microsoft.com/en-us/azure/key-vault/general/about-keys-secrets-certificates</a></p>
<p>Azure Key Vault backup and restore: <a href=""https://learn.microsoft.com/en-gb/azure-key-vault/general/backup"">https://learn.microsoft.com/en-gb/azure-key-vault/general/backup</a></p>

<p>Azure CLI Documentation</p>
<p>az monitor activity-log alert list: <a href=""https://docs.microsoft.com/en-us/cli/azure/monitor/activity-log/alert?view=azure-cli-latest#az-monitor-activity-log-alert-list"">https://docs.microsoft.com/en-us/cli/azure/monitor/activity-log/alert?view=azure-cli-latest#az-monitor-activity-log-alert-list</a></p>
<p>az monitor activity-log alert show: <a href=""https://docs.microsoft.com/en-us/cli/azure/monitor/activity-log/alert?view=azure-cli-latest#az-monitor-activity-log-alert-list"">https://docs.microsoft.com/en-us/cli/azure/monitor/activity-log/alert?view=azure-cli-latest#az-monitor-activity-log-alert-list</a></p>
<p>az monitor activity-log alert create: <a href=""https://docs.microsoft.com/en-us/cli/azure/monitor/activity-log/alert?view=azure-cli-latest#az-monitor-activity-log-alert-list"">https://docs.microsoft.com/en-us/cli/azure/monitor/activity-log/alert?view=azure-cli-latest#az-monitor-activity-log-alert-list</a></p> "
target is Azure API Management	Azure API Management	An adversary can abuse poorly managed Azure API Management credentials to gain access to systems	Elevation of Privilege	"<p>Ensure that your Azure API Management service instances are using system-assigned managed identities in order to allow secure access to other Microsoft Azure protected resources such as Azure Key Vaults. System-assigned managed identities minimizes risks, simplifies management, and maintains compliance with evolving cloud services.</p>

<p>Using system-assigned managed identities for Azure API Management services enhances security by allowing the API service instances to authenticate and authorize with Azure resources without the need for explicit credentials, reducing the risk associated with credential management and providing a seamless and more secure integration with other cloud services.</p>

"	"<p>What are managed identities for Azure resources?: <a href=""https://learn.microsoft.com/en-us/azure/active-directory/managed-identities-azure-resources/overview"">https://learn.microsoft.com/en-us/azure/active-directory/managed-identities-azure-resources/overview</a></p>
<p>Use managed identities in Azure API Management: <a href=""https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-use-managed-service-identity"">https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-use-managed-service-identity</a></p>
<p>Authenticate with managed identity: <a href=""https://learn.microsoft.com/en-us/azure/api-management/authentication-managed-identity-policy"">https://learn.microsoft.com/en-us/azure/api-management/authentication-managed-identity-policy</a></p>

<p>Azure PowerShell Documentation:</p>
<p>az apim list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list</a></p>
<p>az apim show: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-show"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-show</a></p>
<p>Get-AzApiManagement: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/get-azapimanagement?view=azps-11.0.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/get-azapimanagement?view=azps-11.0.0</a></p>
<p>Set-AzApiManagement: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/set-azapimanagement?view=azps-11.0.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/set-azapimanagement?view=azps-11.0.0</a></p> "
target is Azure API Management	Azure API Management	Failure to use user-assigned managed identities for Azure API Management service instances could lead to roles having excessive permissions	Elevation of Privilege	"<p>Ensure that your Azure API Management service instances are using user-assigned managed identities for fine-grained control over access permissions.</p>

<p>In Azure cloud, user-assigned identities encompass a broader range of roles beyond ""Read-Only"", ""Contributor"", and ""Owner"" support. Therefore, Azure API Management services should use user-assigned managed identities to provide granular control over access permissions, enable integration with existing identity systems, and support specific application requirements. User-assigned managed identities offer flexibility in managing identities and access control for Azure API Management service instances, allowing for fine-grained customization based on individual needs.</p>

"	"<p>What are managed identities for Azure resources?: <a href=""https://learn.microsoft.com/en-us/azure/active-directory/managed-identities-azure-resources/overview"">https://learn.microsoft.com/en-us/azure/active-directory/managed-identities-azure-resources/overview</a></p>
<p>Use managed identities in Azure API Management: <a href=""https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-use-managed-service-identity"">https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-use-managed-service-identity</a></p>
<p>Authenticate with managed identity: <a href=""https://learn.microsoft.com/en-us/azure/api-management/authentication-managed-identity-policy"">https://learn.microsoft.com/en-us/azure/api-management/authentication-managed-identity-policy</a></p>

<p>Azure CLI and PowerShell Documentation:</p>
<p>az apim list: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-list</a></p>
<p>az apim show: <a href=""https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-show"">https://learn.microsoft.com/en-us/cli/azure/apim?view=azure-cli-latest#az-apim-show</a></p>
<p>Get-AzApiManagement: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/get-azapimanagement?view=azps-11.0.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/get-azapimanagement?view=azps-11.0.0</a></p>
<p>New-AzUserAssignedIdentity: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.managedserviceidentity/new-azuserassignedidentity?view=azps-11.0.0"">https://learn.microsoft.com/en-us/powershell/module/az.managedserviceidentity/new-azuserassignedidentity?view=azps-11.0.0</a></p>
<p>Set-AzApiManagement: <a href=""https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/set-azapimanagement?view=azps-11.0.0"">https://learn.microsoft.com/en-us/powershell/module/az.apimanagement/set-azapimanagement?view=azps-11.0.0</a></p> "
source is Azure API Management	Azure API Management	A user may be able to perform functions beyond their role requirements due to failure to implement the principle of least privilege.	Elevation of Privilege	"<p>Use Azure role-based access control (Azure RBAC) for controlling access to Azure API Management.  Built-in roles are provided to cover standard use cases but it is also possible to create custom roles, for example to provide write access to a specific API.</p>"	"<p>How to use role-based access control in Azure API Management <a href=""https://learn.microsoft.com/en-gb/azure/api-management/api-management-role-based-access-control"">https://learn.microsoft.com/en-gb/azure/api-management/api-management-role-based-access-control</a></p> "
